ind,constrains,structura_decoding,neurological_decoding,fairseq,target,sd_nd_cosine,sd_re_cosine,sd_nd_diff
210,"[[""to"", ""root""], [""walk"", ""root""], [""somewhere"", ""root""], [""Gelage"", ""obl""], [""to"", ""obj""], [""describe"", ""obj""], [""or"", ""obj""], [""portray"", ""obj""], [""sth"", ""obj""], [""to"", ""obj""], [""sb"", ""obj""], [""seating"", ""obj""], [""furnitur"", ""obj""], [""no"", ""obj""]]
","Not only is it often loud, the situation is also destroyed: posts torn from the ground, trash cans demolished, signs bent around, seat furniture smeared.
","Not only is it often loud, the situation is also destroyed: posts torn from the ground, trash cans demolished, signs bent around, seat furniture smeared.
","Not only is it often loud, the banquets also involve destruction: poles torn out of the ground, rubbish bins demolished, signs folded over, seats smeared.
","It is not just about the noise, there are also disturbances due to parties: Posts pulled out of the ground, garbage cans wrecked, signs snapped and seating daubed.
",1.0,0.35043832202523123,-0.6495616779747688
211,"[[""volunteer"", ""nsubj""], [""explain"", ""root""], [""royal"", ""nsubj""], [""Cycling"", ""nsubj""], [""Club"", ""nsubj""]]
","Volunteers have already cleaned up more often, says ADFC member Susanne Klippert.
","Volunteers have already cleaned up more often, says ADFC member Susanne Klippert.
","Volunteers have cleaned up more often, ADFC member Susanne Klippert says.
","Frequently volunteers have already cleaned up, explains the ADFC member Susanne Klippert.
",1.0,0.7272727272727273,-0.2727272727272727
212,"[[""act"", ""nsubj""], [""drop"", ""root""]]
","The actions are only the proverbial drop on the hot stone.
","The actions are only the proverbial drop on the hot stone.
","But the actions are just the proverbial drop in the ocean.
","Actions are only proverbial drops in the ocean.
",1.0,0.3380617018914066,-0.6619382981085934
213,"[[""you"", ""nsubj""], [""to"", ""root""], [""annoy"", ""root""], [""or"", ""root""], [""irritate"", ""root""], [""sb"", ""root""], [""with"", ""root""], [""sth"", ""root""], [""oneself"", ""obj""], [""picnic"", ""nsubj""], [""area"", ""nsubj""]]
","They are angry that the resting place on the bike path in Treysa is a meeting point for drinking.
","They are angry that the resting place on the bike path in Treysa is a meeting point for drinking.
","They are annoyed that the rest area on the bike path in Treysa is a meeting point for binge drinking.
","They are annoyed that the rest area at the cycle track in Treysa is a meeting point for binge-drinking.
",1.0,0.45454545454545453,-0.5454545454545454
214,"[[""cycle"", ""obl""], [""path"", ""obl""], [""or"", ""obl""], [""track"", ""obl""], [""to"", ""root""], [""lie"", ""root""], [""Haa\u00df"", ""obl""], [""main"", ""nsubj""], [""emphasis"", ""nsubj""], [""Radverkehrsbeauftragte"", ""nsubj""], [""the"", ""nsubj""], [""oneself"", ""obj""], [""Radst\u00e4tte"", ""obl""]]
","""The focus here is clearly on the Haaße hill along the entire cycle path,"" confirms the bicycle traffic officer, who is now also worried about the new cycle centre in Ziegenhain, which is opened today.
","""The focus here is clearly on the Haaße hill along the entire cycle path,"" confirms the bicycle traffic officer, who is now also worried about the new bike park in Ziegenhain, which is opened today.
","""Along the entire cycle path, the focus is clearly on the Haaße hill,"" confirms the bicycle traffic officer, who is now also concerned about the new bike centre in Ziegenhain, which opens today.
","Clearly the focus point along the entire bike path is here on the Haaße, confirms the cycling commissioner, who now is also responsible for the cycling site in Ziegenhain, which will be opened today.
",0.9389710680668849,0.5619514869490164,-0.3770195811178685
215,"[[""shipwreck"", ""root""], [""she"", ""nsubj""], [""destiny"", ""obj""], [""it"", ""nsubj""]]
","""If she suffers the same fate, it will be really expensive.""
","""If she suffers the same fate, it will be really expensive.""
","""If she suffers the same fate, it will be really expensive.""
","If it suffers the same fate, it will cost dearly.
",1.0,0.629940788348712,-0.37005921165128797
216,"[[""idea"", ""root""], [""monitoring"", ""nsubj""], [""by"", ""nsubj""], [""closed"", ""nsubj""], [""circuit"", ""nsubj""], [""TV"", ""nsubj""], [""the"", ""nsubj""], [""threshold"", ""obj""], [""oneself"", ""obj""], [""common"", ""obl""], [""heritage"", ""obl""], [""or"", ""obl""], [""property"", ""obl""], [""no"", ""obl""]]
","Another idea is video surveillance on the hill: ""Perhaps this sets the threshold significantly higher to attack common property.
","Another idea is video surveillance on the hill: ""Perhaps this sets the threshold significantly higher to attack common property.
","Another idea, he said, is video surveillance on the hill: ""It may raise the threshold for seizing public property considerably.
","Another idea is placing video surveillance on the hill: ""Possibly this raises the threshold to engage in damaging common property.
",1.0,0.6875,-0.3125
217,"[[""the"", ""nsubj""], [""to"", ""root""], [""assume"", ""root""], [""sth"", ""root""], [""police"", ""nsubj""], [""patrol"", ""nsubj""]]
","This would assume, however, that a police patrol will pass in a timely manner.
","However, this would require a police patrol to pass in time.
","This would, however, require a police patrol to pass by in a timely manner.
","However, this would require a police patrol to come out.
",0.6030226891555273,0.5330017908890261,-0.07002089826650115
218,"[[""to"", ""root""], [""wish"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""oneself"", ""obj""], [""www.artflakes.com"", ""nsubj""], [""development"", ""obj""]]
","In principle, Wüstenhagen wants a development of the Haaße hill.
","In principle, Wüstenhagen wants a development of the Haaße hill.
","In principle, Wüstenhagen would like to see the Haaße Hill develop.
","In principle, Wüstenhagen supports the development of the Haaße hill.
",1.0,0.8888888888888888,-0.11111111111111116
219,"[[""shape"", ""root""]]
","He needed to be made more attractive.
","He needed to be made more attractive.
","It needs to be made more attractive.
","It needs to be made more attractive.
",1.0,0.6,-0.4
220,"[[""they"", ""nsubj""], [""satisfied"", ""root""], [""with"", ""root""]]
","One could be very satisfied with the frequenting of the cycle path so far.
","One could be very satisfied with the frequenting of the cycle path.
","With the frequency of the cycle path so far one can be very satisfied.
","So far one can be very satisfied with how well the bicycle path is frequented.
",0.9354143466934853,0.47140452079103173,-0.4640098259024536
221,"[[""marketing"", ""nsubj""], [""sth"", ""nsubj""], [""promising"", ""root""]]
","Tourist marketing is still expandable.
","Tourist marketing is still expandable.
","The tourism marketing is still expandable.
","It is still possible to develop tourism-related marketing.
",1.0,0.50709255283711,-0.49290744716289003
222,"[[""cycle"", ""nsubj""], [""path"", ""nsubj""], [""or"", ""nsubj""], [""track"", ""nsubj""], [""of"", ""root""], [""high"", ""root""], [""quality"", ""root""]]
","Our bike path is very high compared to others in Germany,"" says ADFC members.
","Our bike path is very high compared to others in Germany,"" says ADFC members.
","Compared to others in Germany, our bike path is of very high quality, ""the ADFC members said.
","Our cycle track is of very high quality compared to others in German’, agreed the ADFC members.
",1.0,0.5929994533288809,-0.40700054667111907
223,"[[""dang"", ""obl""], [""Spot"", ""obl""], [""to"", ""root""], [""gue\u00df"", ""root""], [""or"", ""root""], [""reckon"", ""root""], [""that"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""is"", ""root""], [""sth"", ""root""], [""royal"", ""nsubj""], [""Cycling"", ""nsubj""], [""Club"", ""nsubj""], [""situation"", ""obj""]]
","As an extremely critical danger, ADFC member Susanne Klippert considers the situation in Asheroder Straße in Treysa.
","As an extremely critical danger, ADFC member Susanne Klippert considers the situation in Asheroder Straße in Treysa.
","ADFC member Susanne Klippert assesses the situation in Ascheröder Straße in Treysa as an extremely critical danger point.
","ADFC member Susanne Klippert considers the situation in the Ascheröder Strasse in Treysa to be critically dangerous.
",1.0,0.5962847939999439,-0.40371520600005606
224,"[[""to"", ""root""], [""give"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""filter"", ""nsubj""], [""or"", ""nsubj""], [""exit"", ""nsubj""], [""or"", ""nsubj""], [""turn"", ""nsubj""], [""lane"", ""nsubj""], [""Haa\u00df"", ""obl""]]
","There's no turning trail on the hill.
","There's no turning trail on the hill.
","There is no turning track on the Haaße hill.
","There is no turning lane on Haaße Hügel.
",1.0,0.5,-0.5
225,"[[""traffic"", ""obl""], [""no"", ""obl""], [""no"", ""obl""], [""it"", ""nsubj""], [""cyclist"", ""nsubj""], [""road"", ""obl""], [""traffic"", ""obl""], [""flow"", ""obl""], [""to"", ""root""], [""explain"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""she"", ""nsubj""]]
","In case of heavy traffic it can happen that cyclists have to wait in the middle of the road between the traffic flow on both sides"", she explains.
","With heavy traffic it can happen that cyclists have to wait in the middle of the road between the two-way traffic flows,"" she explains.
","In heavy traffic, cyclists may have to wait in the middle of the road between two traffic flows, ""she explains.
","In heavy traffic, cyclists may end up waiting in the middle of bidirectional traffic flows"", she explains.
",0.7590721152765897,0.6210590034081188,-0.13801311186847087
226,"[[""the"", ""nsubj""], [""probel"", ""root""]]
","This is no problem for sporty drivers, but it is for older people and especially children.
","This is no problem for sporty drivers, but for older people and especially children.
","This is not a problem for sporty drivers, but probably for older people and especially for children.
","That would not be a problem for sporty cyclists, but is for older people and especially for children.
",1.0,0.7627700713964739,-0.2372299286035261
227,"[[""Eurovision"", ""root""], [""Song"", ""root""], [""Contest"", ""root""]]
","Music Contest in the Kulturbahnhof: The ""Kö von Hiltrup"" and the lake
","Music Contest in the Kulturbahnhof: The ""Kö von Hiltrup"" and the lake
","Music Contest at Kulturbahnhof: The ""Kö von Hiltrup"" and the lake
","Music contest at the culture train station: The ""Kö von Hiltrup"" and the sea
",1.0,0.6689936080056726,-0.33100639199432735
228,"[[""appeal"", ""nsubj""], [""success"", ""root""]]
","The first call for a music contest was a success, creative and together.
","The first call for a music contest was a success, creative and together.
","The first call for the music contest was a success, creatively and in cooperation.
","The first call to participate in the music contest was a success, creative and cooperative.
",1.0,0.8581163303210331,-0.14188366967896693
229,"[[""usu"", ""obj""], [""for"", ""obj""], [""David"", ""obj""], [""song"", ""obj""], [""to"", ""root""], [""read"", ""root""]]
","""D a song for Hiltrup"" is the appeal of the district offensive Hilstrup, in the ""Music contest for big and small young and experienced musicians"".
","""D a song for Hiltrup"" is the appeal of the district offensive, the ""Music contest for big and small, young and experienced musicians"".
","""D is a song for Hiltrup"" is the appeal of the district offensive Hiltrup, in the ""Music contest for big and small, young and experienced musicians.""
","Your Song for Hiltrup is the motto of the Hiltrup initiative for the ""Music Contest for young and old, new and experienced musicians.""
",0.9718253158075502,0.5303300858899107,-0.44149522991763945
230,"[[""Eurovision"", ""root""], [""Song"", ""root""], [""Contest"", ""root""], [""Charles"", ""nsubj""]]
","A contest ""with wink in the sympathetic Hiltruper family"", as Karl Franke formulated.
","A contest ""with wink in the sympathetic Hiltruper family"", as Karl Franke formulated.
","A contest ""with a wink in the sympathetic Hiltruper family,"" as Karl Franke put it.
","A contest ""with a wink from the lovely Hiltrup family"", as Karl Franke worded it.
",1.0,0.7692307692307693,-0.23076923076923073
231,"[[""it"", ""nsubj""], [""cooperation"", ""root""], [""no"", ""root""]]
","In fact, it was soon a family affair with coffee and cakes from the volunteers of the cultural station.
","In fact, it was soon a family affair with coffee and cakes from the volunteers of the cultural station.
","In fact, it was soon a family get-together with coffee and cake from the volunteers of the Kulturbahnhof.
","In fact, it soon became a familial togetherness with coffee and cake from the volunteers of the Kulturbahnhof.
",1.0,0.5833333333333334,-0.41666666666666663
232,"[[""formation"", ""nsubj""], [""to"", ""root""], [""st"", ""root""], [""somewhere"", ""root""], [""ribbon"", ""obl""]]
","Seven formations took place, from the one-man band to the big ensemble: Alvin Jasic with pianist Marcel Untied, Henk Humberg with guitar, Rolf Ihmig, a long Albanian living in Hiltrup, the nine of the ""Hiltruper Sternfarben"", three members and three generations of the Trenkamp and Claus families, an ensemble from the kindergarten Lummerland and finally Rike Weßling and Zwarties.
","Seven formations took place, from the one-man band to the big ensemble: Alvin Jasic with pianist Marcel Untied, Henk Humberg with guitar, Rolf Ihmig, a long Albanian living in Hiltrup, the nine of the ""Hiltruper Sternfarben"", three members and three generations of the Trenkamp and Claus families, an ensemble from the kindergarten Lummerland and finally Rike Weßling and Zwarties.
","Seven formations competed, from the one-man band to the large ensemble: Alvin Jasic with pianist Marcel Untied, Henk Humberg with guitar, Rolf Ihmig, an Albachtener who lived for a long time in Hiltrup, the nine from the ""Hiltrup Sternfarben,"" three members and three generations of the Trenkamp and Claus families, an ensemble from the kindergarten Lummerland and finally Rike Weßling and the Zwarties.
","Seven acts performed, from a one-man band to the big ensemble: Alvin Jasic with pianist Marcel Untied, Henk Humberg with his guitar, Rolf Ihmig, an old-established Hiltrup man, the ""Hiltruper Sternfarben"", three members from three generations of the Trenkamp and Claus families, an ensemble from the kindergarten Lummerland and finally Rike Weßling und die Zwarties.
",1.0,0.8434347122457898,-0.1565652877542102
233,"[[""Eurovision"", ""nsubj""], [""Song"", ""nsubj""], [""Contest"", ""nsubj""], [""borough"", ""nsubj""], [""mayor"", ""nsubj""], [""novelty"", ""root""]]
","This contest, said district mayor Joachim Schmidt, is a novelty.
","This contest, said district mayor Joachim Schmidt, is a novelty.
","This contest, declared district mayor Joachim Schmidt, is a novelty.
","This contest is a novelty, explains district mayor Joachim Schmidt.
",1.0,0.9,-0.09999999999999998
234,"[[""the"", ""obj""], [""we"", ""nsubj""], [""district"", ""obl""], [""to"", ""root""], [""live"", ""root""], [""to"", ""root""], [""see"", ""root""], [""sth"", ""root""]]
","We haven't seen this in other districts.
","We haven't seen this in other districts.
","We haven't seen that in other parts of the city.
","We have not seen something like this in other districts.
",1.0,0.7302967433402214,-0.26970325665977857
235,"[[""to"", ""root""], [""see"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""oneself"", ""obj""], [""songwriter"", ""nsubj""]]
","To what did the copywriters look connected?
","What did the copywriters see connected to?
","What did the lyricists see themselves associated with?
","What did the songwriters sing about?
",0.6,0.22360679774997896,-0.37639320225002104
236,"[[""to"", ""obl""], [""locate"", ""obl""], [""or"", ""obl""], [""get"", ""obl""], [""fix"", ""obl""], [""on"", ""obl""], [""sth"", ""obl""], [""to"", ""root""], [""find"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""lake"", ""nsubj""], [""mentioning"", ""obj""]]
","Lake Hiltruper and the market avenue were particularly frequently mentioned in the villages.
","Lake Hiltruper and the market avenue were particularly frequently mentioned in the villages.
","Lake Hiltruper and Marktallee were mentioned particularly frequently in these places.
","Particularly popular places were the Hiltrup lake and Marktallee.
",1.0,0.1259881576697424,-0.8740118423302576
237,"[[""als"", ""nsubj""], [""wir"", ""nsubj""], [""in"", ""nsubj""], [""der"", ""nsubj""], [""Skiurlaub"", ""nsubj""], [""sein"", ""nsubj""], [""haben"", ""nsubj""], [""er|es|sie"", ""nsubj""], [""der"", ""nsubj""], [""Bein"", ""nsubj""], [""brechen"", ""nsubj""], [""der"", ""nsubj""], [""haben"", ""nsubj""], [""wir"", ""nsubj""], [""der"", ""nsubj""], [""ganz"", ""nsubj""], [""Spa\u00df"", ""nsubj""], [""verdorben"", ""nsubj""], [""to"", ""root""], [""go"", ""root""], [""on"", ""root""], [""health"", ""root""], [""cure"", ""root""], [""avenue"", ""obj""], [""song"", ""obl""], [""EKO"", ""obl""]]
","Rolf Ihmig named the avenue ""Kö von Hiltrup"" in his hit song.
","Rolf Ihmig named the avenue ""Kö von Hiltrup"".
","Rolf Ihmig named the avenue ""Kö von Hiltrup"" in his hit-like song.
","Rolf Ihmig dedicated the song to the avenue Marktalle in his folk-like song ""Kö von Hiltrup"".
",0.9128709291752769,0.8006407690254357,-0.11223016014984122
238,"[[""to"", ""root""], [""acknowledge"", ""root""], [""sth"", ""root""], [""sb"", ""root""]]
","The Kulturbahnhof was also honored.
","The Kulturbahnhof was also honored.
","The Kulturbahnhof was also honoured.
","The Kulturbahnhof was also mentioned.
",1.0,0.8,-0.19999999999999996
239,"[[""to"", ""root""], [""walk"", ""root""], [""somewhere"", ""root""], [""it"", ""nsubj""], [""to"", ""obl""], [""live"", ""obl""], [""to"", ""obl""], [""see"", ""obl""], [""sth"", ""obl""]]
","Again and again it was about experiencing togetherness in these places, especially with Alvin Jasic.
","Again and again it was about experiencing togetherness in these places, especially with Alvin Jasic.
","Time and again it was about experiencing togetherness in these places, especially with Alvin Jasic.
","Over and over again, the acts sang about experiencing togetherness in these places, especially Alvin Jasic.
",1.0,0.8040302522073697,-0.19596974779263032
240,"[[""Charles"", ""nsubj""], [""to"", ""root""], [""stimulate"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""www.aec.at"", ""obj""]]
","Karl Franke revived the short breaks with short interviews with the interpreters or hints about her work.
","Karl Franke revived the short breaks with short interviews with the interpreters or hints about her work.
","Karl Franke enlivened the short breaks with short interviews with the performers or hints about their work.
","Karl Franke led the audience through the breaks with short interviews with the performers or some information about the artists.
",1.0,0.5720775535473553,-0.42792244645264466
241,"[[""to"", ""root""], [""hear"", ""root""], [""or"", ""root""], [""find"", ""root""], [""out"", ""root""], [""sth"", ""root""], [""from"", ""root""], [""sb"", ""root""], [""about"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""they"", ""nsubj""], [""www.fleckvieh.de"", ""obl""], [""he"", ""nsubj""], [""chemistry"", ""obj""], [""guitar"", ""obj""]]
","Humberg learned that he had actually studied chemistry, but now also taught guitar.
","Humberg learned that he had actually studied chemistry, but now also taught guitar.
","Humberg learned that he had actually studied chemistry, but now also teaches guitar.
","Thus, the audience learnt that Humberg that he had actually studied chemistry, but now also teaches guitar.
",1.0,0.7302967433402214,-0.26970325665977857
242,"[[""sound"", ""obl""], [""Technician"", ""obl""], [""to"", ""root""], [""know"", ""root""], [""sth"", ""root""], [""about"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""Franconian"", ""nsubj""], [""the"", ""nsubj""], [""www.uni-mainz.de"", ""obl""], [""organizing"", ""obl""]]
","Franke knew from the sound engineer Stefan Schemmelmann that he recently appeared in Ludwigshafen - at a large event with Barclay James Harvest in the program.
","Franke knew from sound engineer Stefan Schemmelmann that he recently appeared in Ludwigshafen - at a major BASF event with Barclay James Harvest.
","Franke knew from sound engineer Stefan Schemmelmann that he had recently performed in Ludwigshafen - at a major BASF event with Barclay James Harvest in the program.
","From the sound engineer Stefan Schemmelmann Franke reported that he had recently performed in Ludwigshafen - at a major BASF event with Barclay James Harvest as a main act.
",0.8823529411764706,0.7050239879106326,-0.17732895326583797
243,"[[""www.mpi-bremen.de"", ""nsubj""], [""Unboxing"", ""obl""], [""YouTube"", ""obl""], [""-"", ""obl""], [""Ph\u00e4nomen"", ""obl""], ["":"", ""obl""], [""der"", ""obl""], [""Auspacke"", ""obl""], [""ein"", ""obl""], [""Produkts"", ""obl""], [""aus"", ""obl""], [""sein"", ""obl""], [""Verpackung"", ""obl""], [""ein"", ""obl""], [""Geschenkbox"", ""obl""], [""etc"", ""obl""], [""vor"", ""obl""], [""der"", ""obl""], [""Kamera"", ""obl""], [""to"", ""root""], [""place"", ""root""], [""or"", ""root""], [""put"", ""root""], [""sth"", ""root""], [""somewhere"", ""root""]]
","And Alvin Jasic has meanwhile placed everything on YouTube.
","And Alvin Jasic meanwhile placed everything on YouTube.
","And Alvin Jasic, meanwhile, has put all sorts of stuff on YouTube.
","And Alvin Jasic has uploaded a lot of YouTube videos.
",1.0,0.625,-0.375
244,"[[""flat"", ""nsubj""], [""to"", ""obl""], [""win"", ""obl""], [""sth"", ""obl""], [""Franconian"", ""nsubj""], [""to"", ""root""], [""be"", ""root""], [""enough"", ""root""], [""or"", ""root""], [""sufficient"", ""root""], [""for"", ""root""], [""sb"", ""root""]]
","""This is not about winning,"" Franke said.
","""It's not about winning,"" Franke said.
","""It's not about winning,"" Franke had said.
","It’s not about winning, Franke had said.
",0.8249579113843055,0.6681531047810609,-0.15680480660324458
245,"[[""to"", ""root""], [""get"", ""root""], [""sth"", ""root""], [""from"", ""root""], [""sb"", ""root""], [""Ferson"", ""nsubj""], [""present"", ""nsubj""], [""present"", ""obj""]]
","In fact, all participants received a gift from the Hiltruper gastronomy.
","In fact, all participants received a gift from the Hiltruper gastronomy.
","In fact, all participants received a gift from the Hiltrup gastronomy.
","In fact, all participants received a gift from Hiltrup catering businesses.
",1.0,0.7378647873726218,-0.26213521262737816
246,"[[""favourit"", ""obl""], [""or"", ""obl""], [""to"", ""root""], [""give"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""something"", ""nsubj""], [""special"", ""nsubj""], [""different"", ""nsubj""], [""song"", ""obj""]]
","For the favourites of the jury there was nevertheless something special - so that others can listen to their songs.
","For the favourites of the jury there was nevertheless something special - so that others can hear their songs.
","For the favorites of the jury there was nevertheless something special - so that others can also hear their songs.
","For the jury's favorites there was something special - so that others could also hear their songs.
",0.9090909090909091,0.6689936080056726,-0.24009730108523641
247,"[[""CD"", ""obj""], [""www.mpi-bremen.de"", ""nsubj""], [""sound"", ""obl""], [""Technician"", ""obl""], [""to"", ""root""], [""get"", ""root""], [""into"", ""root""], [""full"", ""root""], [""swengen"", ""root""]]
","Alvin Jasic and his pianist Marcel Untied can record a complete CD with sound engineer Schemmelmann.
","Alvin Jasic and his pianist Marcel Untied can record an entire CD with sound engineer Schemmelmann.
","Alvin Jasic and his pianist Marcel Untied can record an entire CD with sound engineer Schemmelmann.
","Alvin Jasic and his pianist Marcel Untied can record an entire CD with sound technician Schemmelmann.
",0.9166666666666666,0.8333333333333334,-0.08333333333333326
248,"[[""musician"", ""nsubj""], [""song"", ""obj""], [""to"", ""root""], [""photograph"", ""root""], [""or"", ""root""], [""take"", ""root""], [""photo"", ""root""], [""graph"", ""root""], [""of"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""the"", ""nsubj""], [""Franconian"", ""obj""], [""musicality"", ""obl""]]
","Other musicians can record a song: Hemig with his Hiltrup hit, which particularly impressed Franke with his musicality, and the ""Lummerland pack"": ""a very nice performance"" with ten children and two educators on guitar and cajon, Laura Kastner and Lina Tolle.
","Other musicians can record a song: Hemig with his Hiltrup hit, which particularly impressed Franke with his musicality, and the ""Lummerland pack"": ""a very nice performance"" with ten children and two educators on guitar and cajon, Laura Kastner and Lina Tolle.
","Other musicians can record a song: Ihmig with his Hiltrup hit, which particularly impressed Franke with its musicality, and the ""Lummerland pack"": ""a very nice performance"" with ten children and two kindergarten teachers on guitar and cajon, Laura Kastner and Lina Tölle.
","Other musicians can record a song: Ihmig with his Hiltrup hit, which especially impressed Franke with his musicality, and the “Lummerland pack:” “a very good performance” with ten children and two teachers on guitar and cajón, Laura Kastner and Lina Tölle.
",1.0,0.7333333333333333,-0.2666666666666667
249,"[[""to"", ""obl""], [""be"", ""obl""], [""all"", ""obl""], [""gon"", ""obl""], [""or"", ""obl""], [""finished"", ""obl""], [""to"", ""root""], [""st"", ""root""], [""somewhere"", ""root""], [""child"", ""nsubj""], [""and"", ""nsubj""], [""youth"", ""nsubj""], [""welfar"", ""nsubj""], [""Service"", ""nsubj""], [""final"", ""obl""], [""Support"", ""obl""], [""Franconian"", ""nsubj""]]
","Like all of them, the children performed again for the finale - and even sounded ""properly good"" without electronic support, as Franke said.
","Like everyone else, the children performed again to the finale - and even without electronic support sounded ""right good"", as Franke said.
","Like everyone else, the children performed again for the finale - and sounded ""really good,"" as Franke said, even without electronic support.
","Like everyone else, the children also performed again for the finals - and even without electronic support, they sounded ""really good,"" Franke said.
",0.8959786703810408,0.8229511997978235,-0.07302747058321735
250,"[[""to"", ""nsubj""], [""run"", ""nsubj""], [""or"", ""nsubj""], [""be"", ""nsubj""], [""in"", ""nsubj""], [""charge"", ""nsubj""], [""of"", ""nsubj""], [""sth"", ""nsubj""], [""to"", ""root""], [""stop"", ""root""], [""sth"", ""root""], [""oneself"", ""obj""], [""jury"", ""nsubj""], [""authenticity"", ""obj""], [""no"", ""obj""], [""no"", ""obj""]]
","The jury was guided by the aspects of originality, relation to Hiltrup, catchiness of melody and recognition value.
","The jury was guided by the aspects of originality, relation to Hiltrup, catchiness of melody and recognition.
","The jury was guided by the aspects of originality, reference to Hiltrup, catchiness of the melody and recognition value.
","The jury was guided by the aspects of originality, reference to Hiltrup, catchiness of the melody and recognition value.
",0.9607689228305227,0.9230769230769231,-0.0376919997535996
251,"[[""to"", ""root""], [""belong"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.kloeckner.com"", ""nsubj""]]
","The jury included Gisbert Keller from the Westfälische Schule für Musik, Andreas Klomfaß from the KvG Gymnasium and Oliver Ahlers from the Wirtschaftsverbund and Jan Kaven, chairman of the district offensive.
","The jury included Gisbert Keller from the Westphalian School of Music, Andreas Klomfaß from the KvG Gymnasium and Oliver Ahlers from the Business Association, as well as Jan Kaven, chairman of the district offensive.
","The jury consisted of Gisbert Keller from the Westphalian School of Music, Andreas Klomfaß from the KvG-Gymnasium and Oliver Ahlers from the Wirtschaftsverbund as well as Jan Kaven, chairman of the district offensive.
","The jury included Gisbert Keller from the Westphalian School of Music, Andreas Klomfaß from KvG-Gymnasium and Oliver Ahlers from the Trade Association as well as Jan Kaven, chairman of the district offensive.
",0.7661308776828738,0.6956521739130435,-0.07047870376983034
252,"[[""Stadtteiloffensive"", ""nsubj""], [""event"", ""obj""], [""life"", ""obl""], [""to"", ""root""], [""cry"", ""root""], [""out"", ""root""]]
","The district offensive launched the event on the occasion of its tenth anniversary.
","The district offensive launched the event on the occasion of its tenth anniversary.
","The district offensive had brought the event to life on the occasion of its tenth anniversary.
","The district offensive launched the event on the occasion of its ten-year anniversary.
",1.0,0.8888888888888888,-0.11111111111111116
253,"[[""you"", ""nsubj""], [""to"", ""root""], [""raten"", ""root""], [""sth"", ""root""], [""event"", ""nsubj""]]
","She considered the event a complete success.
","She considered the event a complete success.
","She rated the event as a complete success.
","They considered the event a complete success.
",1.0,0.8333333333333334,-0.16666666666666663
254,"[[""to"", ""nsubj""], [""be"", ""nsubj""], [""all"", ""nsubj""], [""gon"", ""nsubj""], [""or"", ""nsubj""], [""finished"", ""nsubj""], [""satisfied"", ""root""], [""with"", ""root""], [""atmosph"", ""nsubj""]]
","Everyone was ""very satisfied"", and ""the atmosphere was good"" in the soon very full cultural station.
","Everyone was ""very satisfied"", and ""the atmosphere was good"" in the soon very full cultural station.
","Everyone was ""very satisfied,"" and ""the atmosphere was good"" in the soon very crowded Kulturbahnhof.
","Everyone was ""very satisfied,"" and ""the atmosphere was good"" in the very crowded Kulturbahnhof.
",1.0,0.7302967433402214,-0.26970325665977857
255,"[[""he"", ""root""], [""watched"", ""root""], [""the"", ""root""], [""children"", ""root""], [""playing"", ""root""], [""or"", ""root""], [""at"", ""root""], [""play"", ""root""]]
","The Word Game: ""Decrypto"" in Game Test
","The Word Game: ""Decrypto"" in Game Test
","The Word Game: ""Decrypto"" in the game test
","The Word Game: Testing ""Decrypto""
",1.0,0.875,-0.125
